"trial_number","acc","n","se","upper","lower","model","fit"
1,0.530120481927711,83,0.05478245658071,0.584902938508421,0.475338025347001,"Q",0.502530120481928
1,0.530120481927711,83,0.05478245658071,0.584902938508421,0.475338025347001,"Q * gaze",0.519879518072289
1,0.530120481927711,83,0.05478245658071,0.584902938508421,0.475338025347001,"Q + gaze",0.518795180722892
1,0.530120481927711,83,0.05478245658071,0.584902938508421,0.475338025347001,"softmax(Q)",0.505421686746988
1,0.530120481927711,83,0.05478245658071,0.584902938508421,0.475338025347001,"softmax(Q * gaze)",0.523493975903614
1,0.530120481927711,83,0.05478245658071,0.584902938508421,0.475338025347001,"softmax(Q) * gaze",0.513734939759036
1,0.530120481927711,83,0.05478245658071,0.584902938508421,0.475338025347001,"softmax(Q) + gaze",0.525421686746988
1,0.530120481927711,83,0.05478245658071,0.584902938508421,0.475338025347001,"softmax(Q + gaze)",0.513373493975903
2,0.481927710843373,83,0.0548462684329549,0.536773979276328,0.427081442410419,"Q",0.512771084337349
2,0.481927710843373,83,0.0548462684329549,0.536773979276328,0.427081442410419,"Q * gaze",0.503855421686747
2,0.481927710843373,83,0.0548462684329549,0.536773979276328,0.427081442410419,"Q + gaze",0.512409638554217
2,0.481927710843373,83,0.0548462684329549,0.536773979276328,0.427081442410419,"softmax(Q)",0.522168674698795
2,0.481927710843373,83,0.0548462684329549,0.536773979276328,0.427081442410419,"softmax(Q * gaze)",0.522409638554217
2,0.481927710843373,83,0.0548462684329549,0.536773979276328,0.427081442410419,"softmax(Q) * gaze",0.512409638554217
2,0.481927710843373,83,0.0548462684329549,0.536773979276328,0.427081442410419,"softmax(Q) + gaze",0.520843373493976
2,0.481927710843373,83,0.0548462684329549,0.536773979276328,0.427081442410419,"softmax(Q + gaze)",0.523253012048193
3,0.566265060240964,83,0.054398013539128,0.620663073780092,0.511867046701836,"Q",0.535903614457831
3,0.566265060240964,83,0.054398013539128,0.620663073780092,0.511867046701836,"Q * gaze",0.514578313253012
